Marca;Nombre;;Precio Und;Precio XM,Genero,Precio_Optimizado
"CALVIN KLEIN;CALVIN KLEIN DEFY HOMBRE 100 ML EDT ;; $27.529 ; $26.529 ","Hombre","1002752926990"
"CALVIN KLEIN;CALVIN KLEIN EUPHORIA MEN 50 ML EDT ;; $172.067 ; $171.067 ","Hombre","50172067171990"
"CALVIN KLEIN;CALVIN KLEIN ONE ESSENCE 50ML PARFUM INTENSE ;; $28.370 ; $27.370 ","Unisex","502837027990"
"CAROLINA HERRERA;CAROLINA HERRERA 212 HEROES FOREVER YOUNG MUJER 80 ML EDT ;; $78.723 ; $77.723 ","Mujer","212807872377990"
"CAROLINA HERRERA;CAROLINA HERRERA 212 MAN H�ROES FOREVER YOUNG 100ML EDT ;; $69.874 ; $68.874 ","Unisex","2121006987468990"
"CAROLINA HERRERA;CAROLINA HERRERA 212 MAN NYC EDT 100ML EDT ;; $67.017 ; $66.017 ","Unisex","2121006701766990"
"CAROLINA HERRERA;CAROLINA HERRERA 212 NYC EDT 100 ML MUJER ;; $67.353 ; $66.353 ","Mujer","2121006735366990"
"Carolina Herrera;CAROLINA HERRERA 212 NYC MAN 50ML EDT ;; $49.874 ; $48.874 ","Unisex","212504987448990"
"CAROLINA HERRERA;CAROLINA HERRERA 212 VIP ARE YOU ON THE LIST 80 ML EDP ;NUEVO; $70.387 ; $69.387 ","Unisex","212807038769990"
"CAROLINA HERRERA;CAROLINA HERRERA 212 VIP BLACK 100 ML EDP ;; $71.218 ; $70.218 ","Unisex","2121007121870990"
"CAROLINA HERRERA;CAROLINA HERRERA BAD BOY COBALT 100ML EDP HOMBRE ;; $81.303 ; $80.303 ","Hombre","1008130380990"
"CAROLINA HERRERA;CAROLINA HERRERA BAD BOY EDT 100ML EDT NUEVA PRESENTACI�N ;NUEVO; $70.387 ; $69.387 ","Unisex","1007038769990"
"Carolina Herrera;CAROLINA HERRERA BAR BOY SPARKLIN ICE 100ML EDT ;NUEVO; $69.546 ; $68.546 ","Unisex","1006954668990"
"Carolina Herrera;CAROLINA HERRERA CH WOMAN ROJO PRESENTACION NUEVA MUJER 100 ML EDT ;; $70.387 ; $69.387 ","Mujer","1007038769990"
"CAROLINA HERRERA;CAROLINA HERRERA GOOD GIRL 80ML EDP ;; $84.664 ; $83.664 ","Unisex","808466483990"
"CAROLINA HERRERA;CAROLINA HERRERA GOOD GIRLS BLUSH 100ML EDP ;; $88.025 ; $87.025 ","Unisex","1008802587990"
"Carolina Herrera;CAROLINA HERRERA VERY GOOD GIRL 80ML EDP ;NUEVO; $86.345 ; $85.345 ","Unisex","808634585990"
"CAROLINA HERRERA;TESTER CAROLINA HERRERA 212 NYC EDT 100 ML MUJER ;NUEVO; $54.412 ; $53.412 ","Mujer","2121005441253990"
"DAVIDOFF;DAVIDOFF COOL WATER REBORN MUJER 100 ML EDT ;; $29.454 ; $28.454 ","Mujer","1002945428990"
"DAVIDOFF;DAVIDOFF COOL WATER REBORN MUJER 50 ML EDT ;; $18.613 ; $17.613 ","Mujer","501861317990"
"DAVIDOFF;DAVIDOFF COOL WATER SEA ROSE MUJER 100 ML EDT ;; $16.521 ; $15.521 ","Mujer","1001652115990"
"Davidoff;DAVIDOFF COOL WATER WAVE 125 ML EDT ;; $20.042 ; $19.042 ","Unisex","1252004219990"
